Source Name	Comment[critical care information system]	Material Type	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[development stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Comment[Class of data description]
Archives from critical care information system	Philips CareVue	Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Medications	Administration records of intravenous medications and medication orders.
Archives from critical care information system 	iMDsoft MetaVision	Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Medications	Administration records of intravenous medications and medication orders.
Archives from critical care information systems		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Physiologic	Nurse-verified vital signs, approximately hourly (e.g. heart rate, blood pressure, respiratory rate).
Hospital electronic health record databases		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Laboratory	Blood chemistry, hematology, urine analysis, and microbiology test results.
Archives from critical care information systems		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Notes	Free text notes such as provider progress notes and hospital discharge summaries.
Archives from critical care information systems		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Reports	Free text reports of electrocardiogram and imaging studies.
Hospital electronic health record databases		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Notes	Free text notes such as provider progress notes and hospital discharge summaries.
Hospital electronic health record databases		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Reports	Free text reports of electrocardiogram and imaging studies.
Hospital electronic health record databases		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Descriptive	Demographic detail, admission and discharge times, and dates of death.
Social Security Administration Death Master File		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Descriptive	Demographic detail, admission and discharge times, and dates of death.
Hospital electronic health record databases		Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Medications	Administration records of intravenous medications and medication orders.
Archives from critical care information system 	iMDsoft MetaVision	Hospital Records	OMIT	OMIT:0007894	Homo sapiens	NCBITAXON	NCBITaxon:9606	adult organism	UBERON	UBERON:0007023	Patient characteristics	Classes of data	Interventions	Procedures such as dialysis, imaging studies, and placement of lines.
